ts_code,name,pct_change,leading,leading_pct,up_num,down_num,turnover_rate,total_mv,idx_type
BK1193.DC,海南自贸,0.48,中钨高新,10.0,47,34,1.7,135177427.2,概念板块
BK1192.DC,雅下水电概念,0.48,特锐德,5.04,33,19,1.61,195748619.2,概念板块
BK1169.DC,Kimi概念,0.48,九安医疗,10.0,8,8,3.88,49147057.6,概念板块
BK1280.DC,食品加工,0.47,交大昂立,9.94,13,11,1.99,24750921.3,行业板块
BK1661.DC,行业龙头,0.45,京东方Ａ,10.02,43,52,1.13,3124227200.0,概念板块
BK1016.DC,汽车服务,0.45,浩物股份,1.61,6,2,1.7,4469054.5,行业板块
BK1187.DC,小红书概念,0.44,大普微-UW,8.94,39,30,3.62,96687435.2,概念板块
BK1174.DC,合成生物,0.44,播恩集团,9.99,61,54,2.31,142404563.2,概念板块
BK0940.DC,网红经济,0.44,华策影视,7.4,79,51,3.0,164068064.0,概念板块
BK0733.DC,包装材料,0.44,衢州东峰,4.82,19,9,2.37,17320956.1,概念板块
BK1504.DC,粮油加工,0.42,京粮控股,1.14,6,3,1.43,16683545.2,行业板块
BK1218.DC,出版,0.42,荣信文化,3.39,20,7,0.98,25392251.6,行业板块
BK1216.DC,医药生物,0.41,四环生物,10.13,260,231,1.74,661139430.4,行业板块
BK0949.DC,氦气概念,0.41,蜀道装备,5.25,11,5,3.35,26758194.3,概念板块
BK0486.DC,传媒,0.41,华智数媒,8.42,74,51,2.59,159718950.4,行业板块
BK1521.DC,摩托车,0.4,隆鑫通用,3.59,4,4,1.29,16799410.5,行业板块
BK1292.DC,广告媒体,0.4,华媒控股,1.33,2,1,1.46,8783669.4,行业板块
BK0972.DC,快手概念,0.4,三维通信,4.32,18,14,5.14,35292059.2,概念板块
BK1607.DC,医药流通,0.39,百洋医药,3.26,13,9,1.17,22969295.2,行业板块
BK1552.DC,超市,0.39,步步高,1.09,5,2,1.18,7115260.6,行业板块
BK0992.DC,REITs概念,0.39,张江高科,6.27,11,12,1.02,67943932.8,概念板块
BK1341.DC,房产租赁经纪,0.38,世联行,1.07,2,1,2.07,2303869.0,行业板块
BK1289.DC,大众出版,0.38,荣信文化,3.39,12,5,1.4,13117064.5,行业板块
BK0433.DC,农林牧渔,0.37,播恩集团,9.99,61,48,1.82,125062443.2,行业板块
BK1670.DC,中盘价值,0.36,振华科技,7.55,69,64,1.2,479862502.4,概念板块
BK1404.DC,农用机械,0.36,弘宇股份,2.64,5,5,1.59,5197243.3,行业板块
BK1381.DC,燃气Ⅲ,0.36,贵州燃气,4.3,19,13,2.32,30006654.4,行业板块
BK1028.DC,燃气Ⅱ,0.36,贵州燃气,4.3,19,13,2.32,30006654.4,行业板块
BK0464.DC,石油石化,0.36,恒通股份,9.97,32,18,0.51,528296320.0,行业板块
BK1498.DC,品牌化妆品,0.34,珀莱雅,5.09,5,3,1.21,9659779.9,行业板块
BK1035.DC,美容护理,0.34,珀莱雅,5.09,18,14,1.48,27970828.8,行业板块
BK1657.DC,病原体防治,0.33,九安医疗,10.0,86,76,1.82,172222833.6,概念板块
BK1541.DC,卫浴制品,0.33,海鸥住工,2.86,5,2,1.39,3660724.7,行业板块
BK0974.DC,化妆品概念,0.33,珀莱雅,5.09,36,23,1.69,62175673.6,概念板块
BK1654.DC,文娱消费,0.32,华智数媒,8.42,41,49,2.89,114505822.4,概念板块
BK1572.DC,油气及炼化工程,0.31,潜能恒信,2.96,5,1,1.92,7709672.0,行业板块
BK1376.DC,核力发电,0.31,中国广核,1.59,1,2,0.45,51015801.6,行业板块
BK0636.DC,B股,0.31,大众Ｂ股,6.08,46,25,0.3,67327593.6,概念板块
BK1367.DC,板材,0.3,本钢板Ｂ,3.41,8,7,0.93,49752678.4,行业板块
BK0980.DC,化债(AMC)概念,0.3,锡业股份,4.74,29,28,1.31,102743377.6,概念板块
BK1635.DC,长期破净,0.29,金隅集团,9.8,90,88,0.51,1480460057.6,概念板块
BK1524.DC,汽车综合服务,0.29,浩物股份,1.61,2,1,2.76,2409016.7,行业板块
BK1558.DC,学历教育,0.27,国脉科技,0.76,1,1,1.55,1076958.8,行业板块
