ts_code,name,trade_date,close,pct_change,category,turnover_rate,amount
BK1661.DC,行业龙头,20260522,989.03,0.45,概念板块,1.13,285950217359.0
BK0733.DC,包装材料,20260522,1389.12,0.44,概念板块,2.37,5080884556.0
BK0940.DC,网红经济,20260522,762.11,0.44,概念板块,3.0,47279428136.0
BK1174.DC,合成生物,20260522,1323.75,0.44,概念板块,2.31,29595751983.0
BK1187.DC,小红书概念,20260522,1341.48,0.44,概念板块,3.62,30261498476.0
BK1218.DC,出版,20260522,1967.13,0.42,行业板块,0.98,2989508863.0
BK1504.DC,粮油加工,20260522,1397.78,0.42,行业板块,1.43,490580539.0
BK0486.DC,传媒,20260522,10596.92,0.41,行业板块,2.59,44033024952.0
BK0949.DC,氦气概念,20260522,2993.52,0.41,概念板块,3.35,10240035748.0
BK1216.DC,医药生物,20260522,4667.86,0.41,行业板块,1.74,101645726354.0
BK0972.DC,快手概念,20260522,1705.8,0.4,概念板块,5.14,20343984125.0
BK1292.DC,广告媒体,20260522,2410.97,0.4,行业板块,1.46,1259076643.0
BK1521.DC,摩托车,20260522,3530.56,0.4,行业板块,1.29,1812502469.0
BK0992.DC,REITs概念,20260522,790.75,0.39,概念板块,1.02,8628133842.0
BK1552.DC,超市,20260522,1637.83,0.39,行业板块,1.18,791533288.0
BK1607.DC,医药流通,20260522,2067.13,0.39,行业板块,1.17,2014702358.0
BK1289.DC,大众出版,20260522,1794.31,0.38,行业板块,1.4,2449299959.0
BK1341.DC,房产租赁经纪,20260522,1683.62,0.38,行业板块,2.07,371367969.0
BK0433.DC,农林牧渔,20260522,14539.31,0.37,行业板块,1.82,15652075016.0
BK0464.DC,石油石化,20260522,7091.12,0.36,行业板块,0.51,16094882578.0
BK1028.DC,燃气Ⅱ,20260522,2057.09,0.36,行业板块,2.32,6832005903.0
BK1381.DC,燃气Ⅲ,20260522,2057.09,0.36,行业板块,2.32,6832005903.0
BK1404.DC,农用机械,20260522,1845.42,0.36,行业板块,1.59,557909457.0
BK1670.DC,中盘价值,20260522,979.02,0.36,概念板块,1.2,74288879565.0
BK1035.DC,美容护理,20260522,968.91,0.34,行业板块,1.48,3396636419.0
BK1498.DC,品牌化妆品,20260522,1497.55,0.34,行业板块,1.21,1329132967.0
