ts_code,name,type,trade_date,pct_change,pct_chg,close,vol
885697.TI,深圳国企改革,N,20260522,0.9594,,1875.07,8285941.9
885456.TI,互联网金融,N,20260522,0.9548,,6382.991,61773314.0
885787.TI,独角兽概念,N,20260522,0.9399,,2151.176,47312444.0
886019.TI,AIGC概念,N,20260522,0.9365,,2230.125,84111925.0
885877.TI,转基因,N,20260522,0.917,,1746.573,3264241.1
885402.TI,智能医疗,N,20260522,0.9076,,4771.452,132794868.0
886098.TI,小红书概念,N,20260522,0.9055,,1679.397,19199975.0
885860.TI,中船系,N,20260522,0.8997,,1816.866,1928379.3
885699.TI,ST板块,N,20260522,0.8875,,541.013,38963811.0
885749.TI,蚂蚁集团概念,N,20260522,0.8843,,1713.747,30268893.0
885615.TI,体育产业,N,20260522,0.878,,1094.097,29888566.0
885705.TI,乡村振兴,N,20260522,0.8698,,1203.673,111865362.0
885514.TI,京津冀一体化,N,20260522,0.8636,,2113.432,84468144.0
885430.TI,天然气,N,20260522,0.8623,,1769.965,45365357.0
885842.TI,数字乡村,N,20260522,0.8592,,1937.023,26710014.0
885894.TI,海南自贸区,N,20260522,0.8591,,1627.526,10622389.0
886094.TI,华为盘古,N,20260522,0.859,,1084.056,6065379.7
886105.TI,雅下水电概念,N,20260522,0.8586,,1418.163,39495573.0
885988.TI,统一大市场,N,20260522,0.8564,,1397.825,30296712.0
885966.TI,跨境支付(CIPS),N,20260522,0.8458,,1662.293,32838794.0
886031.TI,ChatGPT概念,N,20260522,0.8384,,1930.125,39964035.0
885540.TI,三胎概念,N,20260522,0.8082,,2385.506,24596593.0
885480.TI,在线教育,N,20260522,0.8044,,3090.578,33686145.0
885578.TI,基因测序,N,20260522,0.7885,,2083.066,11122798.9
886060.TI,短剧游戏,N,20260522,0.775,,1391.8,32667313.0
885950.TI,虚拟数字人,N,20260522,0.7744,,1510.385,54333025.0
885522.TI,养老概念,N,20260522,0.7639,,2258.566,55345883.0
886023.TI,数据确权,N,20260522,0.7524,,1619.666,18296501.0
885439.TI,土地流转,N,20260522,0.7458,,2087.81,10656690.3
885990.TI,露营经济,N,20260522,0.7416,,1821.351,6170438.2
885964.TI,俄乌冲突概念,N,20260522,0.7364,,1595.951,24087120.0
885418.TI,文化传媒概念,N,20260522,0.7295,,2979.089,59720972.0
885620.TI,参股券商,N,20260522,0.7229,,1536.32,35016218.0
885810.TI,大豆,N,20260522,0.7201,,1653.714,2921933.5
885818.TI,工业大麻,N,20260522,0.7073,,1518.173,5800079.9
885603.TI,网络游戏,N,20260522,0.699,,1673.754,21235364.0
885910.TI,拼多多概念,N,20260522,0.6963,,1852.989,6638638.4
