ts_code,name,trade_date,lu_time,ld_time,open_time,last_time,lu_desc,tag,theme,net_change,bid_amount,status,bid_change,bid_turnover,lu_bid_vol,pct_chg,bid_pct_chg,rt_pct_chg,limit_order,amount,turnover_rate,free_float,lu_limit_order
603595.SH,ST东尼,20260522,09:37:28,,,09:48:55,ST板块,涨停,碳化硅、金刚石概念,15520113.0,,首板,,,,,,,10176540.0,81237175.0,3.07,2665378961.0,22220088.0
605180.SH,华生科技,20260522,11:19:51,,,11:19:51,元器件,涨停,电阻电容、元器件,14962066.0,,首板,,,,,,,29565772.0,74091451.0,9.83,784688125.0,92008160.0
002431.SZ,ST棕榈,20260522,09:45:21,,,13:26:57,ST板块,涨停,农业、基础建设,14486749.0,,首板,,,,,,,4732812.0,51174810.0,2.82,1823182887.0,12982536.0
002076.SZ,*ST星光,20260522,13:02:09,,,13:37:45,ST板块,涨停,量子科技、算力,13897750.0,,首板,,,,,,,4165199.0,143532268.0,6.11,2380378389.0,20123662.0
000826.SZ,*ST启环,20260522,14:40:39,,,14:40:39,ST板块,涨停,环保、垃圾发电,13826038.0,,首板,,,,,,,6080711.0,86695299.0,3.22,2731925479.0,9381215.0
002199.SZ,*ST东晶,20260522,10:52:30,,,10:52:30,ST板块,涨停,股权转让、消费电子,13255331.0,,首板,,,,,,,11197964.0,84707389.0,4.15,2066080387.0,21313042.0
002193.SZ,ST如意,20260522,09:32:36,,,10:36:30,ST板块,涨停,服装家纺、抗病毒面料,11714036.0,,首板,,,,,,,2992314.0,57021555.0,5.88,973406675.0,22479366.0
603721.SH,*ST天择,20260522,10:04:17,,,13:44:49,ST板块,涨停,阶跃星辰、年报增长,10236795.0,,首板,,,,,,,5394744.0,63264825.0,4.09,1559110020.0,14340061.0
002496.SZ,*ST辉丰,20260522,11:21:54,,,13:45:54,ST板块,涨停,农药、氢能源,8740433.0,,首板,,,,,,,2969270.0,103199438.0,3.7,2821800673.0,8649544.0
002442.SZ,龙星科技,20260522,09:44:45,,,09:44:45,化工,涨停,煤化工、化工,8600484.0,,3连板,,,,,,,48156852.0,716560521.0,25.23,3020594961.0,252180432.0
603922.SH,ST金鸿顺,20260522,09:47:48,,,11:24:48,ST板块,涨停,汽车零部件、并购重组,7671091.0,,首板,,,,,,,1405577.0,51536264.0,3.48,1491483929.0,17125648.0
603021.SH,*ST华鹏,20260522,13:04:16,,,14:40:43,ST板块,涨停,并购重组、医疗器械,6059414.0,,首板,,,,,,,1152670.0,47100119.0,3.71,1285871613.0,5412309.0
002762.SZ,*ST金比,20260522,13:34:42,,,13:44:42,ST板块,涨停,生育概念、一季报增长,2568879.0,,首板,,,,,,,4464975.0,45842108.0,3.06,1519229649.0,7117875.0
002634.SZ,*ST棒杰,20260522,10:08:00,,,10:08:00,ST板块,涨停,TOPCon、光伏,2173885.0,,首板,,,,,,,5458852.0,31462290.0,2.13,1503722223.0,13913521.0
603261.SH,*ST立航,20260522,14:49:31,,,14:49:31,ST板块,涨停,军工、ST板块,515012.0,,首板,,,,,,,2363790.0,22324234.0,2.32,976330762.0,7080255.0
600892.SH,*ST大晟,20260522,14:00:33,,,14:33:27,ST板块,涨停,游戏、文化传媒,-2410971.0,,首板,,,,,,,1620040.0,48802755.0,3.37,1472162577.0,8542176.0
001225.SZ,和泰机电,20260522,09:33:06,,,09:41:24,新型工业化,涨停,专用设备、新型工业化,-5760656.0,,2连板,,,,,,,42474348.0,236905371.0,23.06,1052372301.0,100514344.0
002253.SZ,*ST智胜,20260522,14:10:33,,,14:20:48,ST板块,涨停,人工智能、元宇宙,-7493540.0,,首板,,,,,,,2865324.0,90216933.0,4.53,2013222872.0,9897216.0
000518.SZ,四环生物,20260522,09:30:03,,,09:56:00,ST摘帽,涨停,医药、病毒防治,-23891864.0,,5天4板,,,,,,,61785112.0,705070644.0,25.66,2756985395.0,308953920.0
688260.SH,昀冢科技,20260522,09:39:10,,,13:00:01,元器件,涨停,电阻电容、通信,-47423500.0,,4天2板,,,,,,,79086808.0,1047150482.0,20.32,5277000960.0,217780848.0
